Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
34.054394853,0,0,1,0,1,0,0,0
34.054422400,0,0,0,0,0,0,0,0
34.054444000,0,0,1,0,1,0,0,0
34.054472320,0,0,0,0,0,0,0,0
34.054493920,0,0,1,0,1,0,0,0
34.054522080,0,0,0,0,0,0,0,0
34.054543840,0,0,1,0,1,0,0,0
34.054572160,0,0,0,0,0,0,0,0
34.054593760,0,0,1,0,1,0,0,0
34.054621920,0,0,1,0,0,0,0,0
34.054622080,0,0,0,0,0,0,0,0
34.054643680,0,0,1,0,1,0,0,0
34.054671840,0,0,0,0,0,0,0,0
34.054693600,0,0,1,0,1,0,0,0
34.054721760,0,0,0,0,0,0,0,0
34.054743520,0,0,1,0,1,0,0,0
34.054771680,0,0,0,0,0,0,0,0
34.054793440,0,0,1,0,1,0,0,0
34.054821600,0,0,0,0,0,0,0,0
34.054843360,0,0,1,0,1,0,0,0
34.054871520,0,0,0,0,0,0,0,0
34.054893280,0,0,1,0,1,0,0,0
34.054921440,0,0,0,0,0,0,0,0
34.054943040,0,0,1,0,1,0,0,0
34.054971360,0,0,0,0,0,0,0,0
34.054992960,0,0,1,0,1,0,0,0
34.055021280,0,0,0,0,0,0,0,0
34.055042880,0,0,1,0,1,0,0,0
34.055071200,0,0,0,0,0,0,0,0
34.055092800,0,0,1,0,1,0,0,0
34.055121120,0,0,0,0,0,0,0,0
34.055142720,0,0,1,0,1,0,0,0
34.055171040,0,0,0,0,0,0,0,0
34.055192640,0,0,1,0,1,0,0,0
34.055220960,0,0,0,0,0,0,0,0
34.055242560,0,0,1,0,1,0,0,0
34.055270880,0,0,0,0,0,0,0,0
34.055292480,0,0,1,0,1,0,0,0
34.055320800,0,0,0,0,0,0,0,0
34.055342400,0,0,1,0,1,0,0,0
34.055370720,0,0,0,0,0,0,0,0
34.055392320,0,0,1,0,1,0,0,0
34.055420640,0,0,0,0,0,0,0,0
34.055442240,0,0,1,0,1,0,0,0
34.055470400,0,0,0,0,0,0,0,0
34.055492160,0,0,1,0,1,0,0,0
34.055520320,0,0,0,0,0,0,0,0
34.055542080,0,0,1,0,1,0,0,0
34.055570240,0,0,0,0,0,0,0,0
34.055592000,0,0,1,0,1,0,0,0
34.055620160,0,0,0,0,0,0,0,0
34.055641920,0,0,1,0,1,0,0,0
34.055670080,0,0,0,0,0,0,0,0
34.055691840,0,0,1,0,1,0,0,0
34.055720000,0,0,0,0,0,0,0,0
34.055741760,0,0,1,0,1,0,0,0
34.055769920,0,0,0,0,0,0,0,0
34.055791680,0,0,1,0,1,0,0,0
34.055819840,0,0,0,0,0,0,0,0
34.055841440,0,0,1,0,1,0,0,0
34.055869760,0,0,0,0,0,0,0,0
34.055891360,0,0,1,0,1,0,0,0
34.055919680,0,0,0,0,0,0,0,0
34.055941280,0,0,1,0,1,0,0,0
34.055969600,0,0,0,0,0,0,0,0
34.055991200,0,0,1,0,1,0,0,0
34.056019520,0,0,0,0,0,0,0,0
34.056041120,0,0,1,0,1,0,0,0
34.056069440,0,0,0,0,0,0,0,0
34.056091040,0,0,1,0,1,0,0,0
34.056119360,0,0,0,0,0,0,0,0
34.056140960,0,0,1,0,1,0,0,0
34.056169280,0,0,0,0,0,0,0,0
34.056190880,0,0,1,0,1,0,0,0
34.056219200,0,0,0,0,0,0,0,0
34.056240800,0,0,1,0,1,0,0,0
34.056269120,0,0,0,0,0,0,0,0
34.056290720,0,0,1,0,1,0,0,0
34.056319040,0,0,0,0,0,0,0,0
34.056340640,0,0,1,0,1,0,0,0
34.056368960,0,0,0,0,0,0,0,0
34.056390560,0,0,1,0,1,0,0,0
34.056418880,0,0,0,0,0,0,0,0
34.056440480,0,0,1,0,1,0,0,0
34.056468800,0,0,0,0,0,0,0,0
34.056490400,0,0,1,0,1,0,0,0
34.056518720,0,0,0,0,0,0,0,0
34.056540320,0,0,1,0,1,0,0,0
34.056568640,0,0,0,0,0,0,0,0
34.056590240,0,0,1,0,1,0,0,0
34.056618560,0,0,0,0,0,0,0,0
34.056640160,0,0,1,0,1,0,0,0
34.056668480,0,0,0,0,0,0,0,0
34.056690080,0,0,1,0,1,0,0,0
34.056700320,0,0,1,0,0,0,0,0
34.056704160,0,0,1,1,0,0,0,0
34.056718400,0,0,0,0,0,0,0,0
34.056740000,0,0,1,1,0,0,0,0
34.056768320,0,0,0,0,0,0,0,0
34.056789920,0,0,1,1,0,0,0,0
34.056818240,0,0,0,0,0,0,0,0
34.056839840,0,0,1,1,0,0,0,0
34.056868160,0,0,0,0,0,0,0,0
34.056889760,0,0,1,1,0,0,0,0
34.056918080,0,0,0,0,0,0,0,0
34.056939680,0,0,1,1,0,0,0,0
34.056968000,0,0,0,0,0,0,0,0
34.056989600,0,0,1,1,0,0,0,0
34.057017920,0,0,0,0,0,0,0,0
34.057039520,0,0,1,1,0,0,0,0
34.057067840,0,0,0,0,0,0,0,0
34.057089440,0,0,1,1,0,0,0,0
34.057117760,0,0,0,0,0,0,0,0
34.057139360,0,0,1,1,0,0,0,0
34.057139520,0,1,1,1,0,0,0,0
34.057139680,0,0,1,1,0,0,0,0
34.057167520,0,0,0,0,0,0,0,0
34.057189280,0,0,1,1,0,0,0,0
34.057217440,0,0,0,0,0,0,0,0
34.057239200,0,0,1,1,0,0,0,0
34.057267360,0,0,0,0,0,0,0,0
34.057288960,0,0,1,1,0,0,0,0
34.057317280,0,0,0,0,0,0,0,0
